id;villes
196;Granville,Carolles,Sartilly,Avranches,Cancale (côté breton)
197;saint jean le thomas,genêt,Pontorson,
198;Avranches, Pontorson, Beauvoir
199;Avranches, Granville, Pontorson
200;Avranches, Granville, Pontorson
201;Avranches, Pontorson,Granville, St pair sur Mer, Cancale
202;CANCALE - ,PONTORSON - ,VAL SAINT PERE - ,BEAUVOIR ,ET LE MONT SAINT MICHEL
203;Cancale,st Malo,
204;Cancale, Saint-Malo, Granville, Villedieu-les-Poëles,Pontorson
205;Avranches,Genêts
206;granville,saint-pair...kairon...julouville..carollres ...saint jean le thomas...!granville,aint nicolas
207;BEAUVOIR- HUISNES  SUR MER- GENETS- ST GEORGES DE GREHAIGNE- ARDEVIN -AVRANCHES
208;Avranches, Granville, Cancale, Carolles, Jullouville
209;Sartilly, Champeaux, Genêts, Marcey-les-grèves, Avranches.
210;Couesnon . Tombaine . Huisnes-sur-mer. Genêts. Servon . Hameaux de belmon et saincey. Dragey .  Canrus  . Saint  jean le Thomas
211;Granville,Avranches,Saint Malo
212;Avranches, Pontorson, Cancales, Dol de Bretagne
213;Pontorson,  Granville, Avranches,  cherrueix, beauvoir
214;Cancale, Saint benoit des Ondes,  Cherrueix, Pontorson, Avranches
215;Cancale , st benoit des ondes, st meloir
216;Cancale, Avranches
217;Cancale, Pontorson, Cherrueix, Genêts, Carolles
218;Granville,Vivier-sur-Mer,Villedieu-les-Poêles
219;Cancale, Genêt, Cherrueix, Granville, Saint Pair sur Mer
220;Avranches- Marcey les grèves-cancale-vains
221;Beauvoir,Hirel,Cherrueix,Avranches
222;Granville, Avranches, DOL de Bretagne, Cancale, Le Vivier sur Mer
223;Granville, Avranches, , Pontorson, Genêts, le Mont St michel
224;Pontorson , cancale, le vivier su mer, cherrueix, saint Benoît des ondes, dinan même si c est un peu plus dans les terres
225;- Cancale- Cherrueix - Grandville  - Avranches -Pontorson
226;Granville, Jullouville ,Cancale
227;Courty,Genêts,,Pontorson,,Ceux,,Beau voir,
228;Pontorson , Dol , Avranches, Cancale
229;avranches , Pontorson , dol , cancale
230;PONTORSON  .  ARDEVO  . BEAUVOIR  . COUESNON  . AVRANCHE
231;Cancale,Pontorson ,Avranche ,
232;Le Vivier sur Mer,Pontorson ,Beauvoir
233;Granville ,Cancale ,Cherrueix ,Commune du mt st michel,Roz sur couesno'
234;Granville ?
235;dinard, saint malo , granville
236;Dol de Bretagne, Avranche, Ducey, St James
237;Ardevon, Saint-Jean-Le-Thomas, Genêts, Vains, Saint-Léonard
238;Mont dol,Beauvoir,hirel,le vivier sur mer ,saint -Benoît des ondes ,
239;Les île chaussay granville
240;GENETS CAROLLES DRAGEY AVRANCHES BACILLY
241;arromanche, avranche, saint-malot,
242;Mont-Dol / Cancale
243;Granville, Avranches, Huynes-sur-Mer,Pontorson,Beauvoir
244;Marité,Chausey,Granville,Avranches
245;Genêts,Sartilly,Cancale,Vains,Saint léonard
246;Le Vivier,Cherrueix, Champeaux, Avranches, Carolles, Granville en remontant ...
247;Saint-Jean-le-Thomas, Dragey-Ronthon, Genêts, Vains, Marcey-les-Grèves.
248;Granville, Pontorson
249;Le Mont Saint-Michel, Avranches.
250;Granville,Avranches,Cancale
251;Avranches, Granville, Pontorson. Cancale Jullouville
252;granville  cancale saint pair jullouville
253;je ne sais pas
254;jullouville - pontorson -courtils -genets -pontaubault
255;GRANVILLE AVRANCHES PONTORSON CAROLLES ET MONT DOL
256;Beauvoir - genêts - Tanis - courtils - roz sur couesnon -
257;genets,bec d andain courtils
258;cherrueix, beauvoir, pontaubault
259;Pontorson,  Granville,  Avranches,  saint Jean Le thomas, Jullouville
260;Avranches, Granville, Cancale
261;coutances  cancale  dinan   
262;Granville, Carole, Jullouville, Cancale
263;SAINT PAIR - JULLOUVILLE - CAROLLES
264;Avranche         VIre
265;Granville  Cancale  Avranches  Saint Pair  Jullouville  Carrolles  Dol de Bretagne
266;le vivier sur mer + cherrueix + dragey + Beauvoir + avranches
267;Avranches,Granville,Cancale,Pontaubault,St Jean le Thomas
268;avranches, granville, , saint malo, saint pair, cancale,
269;Saint-Jean-le-Thomas, Avranches, Genêts, Ceaux, Vains
270;avranche  pontorson  pontaubault    cancale  
271;Granville,Avranches,Ville Dieu les poêles,le Mortainais,Pontorson
272;GRANVILLE AVRANCHES PONTORSON MONT DOL CANCALE
273;granville-avranches-huisne sur mer-ceaux-carolles
274;BEAUVOIR      HUISNES SUR MER       GENETS     TANIS     COURTILS
275;Avranches,Granville,Mortain,Villedieu
276;Granville ,Avranches,Le Mont-Saint-Michel,Cancale,Pontorson ,
277;GRANVILLE - AVRANCHES - PONTORSON - LE MONT ST MICHEL - CANCALE
278;Pontorson, Avranches, Granville en Normandie et Cancale pour la Bretagne
